Team,Abbreviation,Conference,Division,Wins,Losses,Ties,Super Bowl Wins,Super Bowl Losses
Arizona Cardinals,ARI,NFC,NFC West,577,777,41,0,1
Atlanta Falcons,ATL,NFC,NFC South,376,483,6,0,2
Baltimore Ravens,BAL,AFC,AFC North,233,183,1,2,0
Buffalo Bills,BUF,AFC,AFC East,449,492,8,0,4
Carolina Panthers,CAR,NFC,NFC South,205,227,1,0,2
Chicago Bears,CHI,NFC,NFC North,783,610,42,1,1
Cincinnati Bengals,CIN,AFC,AFC North,373,459,5,0,3
Cleveland Browns,CLE,AFC,AFC North,541,518,14,0,0
Dallas Cowboys,DAL,NFC,NFC East,538,403,6,5,3
Denver Broncos,DEN,AFC,AFC West,495,444,10,3,5
Detroit Lions,DET,NFC,NFC North,570,694,34,0,0
Green Bay Packers,GB,NFC,NFC North,782,581,38,4,1
Houston Texans,HOU,AFC,AFC South,139,182,0,0,0
Indianapolis Colts,IND,AFC,AFC South,543,481,7,2,2
Jacksonville Jaguars,JAX,AFC,AFC South,180,253,0,0,0
Kansas City Chiefs,KC,AFC,AFC West,507,430,12,2,2
Las Vegas Raiders,LV,AFC,AFC West,491,447,11,3,2
Los Angeles Chargers,LAC,AFC,AFC West,468,470,11,0,1
Los Angeles Rams,LAR,NFC,NFC West,599,580,21,2,3
Miami Dolphins,MIA,AFC,AFC East,476,385,4,2,3
Minnesota Vikings,MIN,NFC,NFC North,503,421,11,0,4
New England Patriots,NE,AFC,AFC East,529,411,9,6,5
New Orleans Saints,NO,NFC,NFC South,396,450,5,1,0
New York Giants,NYG,NFC,NFC East,706,631,33,4,1
New York Jets,NYJ,AFC,AFC East,414,527,8,1,0
Philadelphia Eagles,PHI,NFC,NFC East,599,627,27,1,2
Pittsburgh Steelers,PIT,AFC,AFC North,652,563,22,6,2
San Francisco 49ers,SF,NFC,NFC West,599,506,16,5,2
Seattle Seahawks,SEA,NFC,NFC West,374,350,1,1,2
Tampa Bay Buccaneers,TB,NFC,NFC South,291,433,1,2,0
Tennessee Titans,TEN,AFC,AFC South,463,480,6,0,1
Washington Football Team,WAS,NFC,NFC East,617,622,28,3,2
